,Crypto Name,Price,TimeStamp
0,Bitcoin price,"97,781.91",2025-02-07 15:50:01.501847
Bitcoin price,"97,781.91",2025-02-07 15:50:01.501847
Bitcoin price,"97,781.91",2025-02-07 15:50:01.501847
Bitcoin price,"97,588.42",2025-02-07 16:06:56.351502
Bitcoin price,"97,353.27",2025-02-07 16:22:17.149089
Bitcoin price,"97,353.27",2025-02-07 16:22:29.273463
Bitcoin price,"97,353.27",2025-02-07 16:22:39.415347
Bitcoin price,"97,353.27",2025-02-07 16:22:49.541007
Bitcoin price,"97,353.27",2025-02-07 16:23:00.747027
Bitcoin price,"97,353.27",2025-02-07 16:23:11.328517
Bitcoin price,"97,353.27",2025-02-07 16:23:21.710967
Bitcoin price,"97,353.27",2025-02-07 16:23:31.838272
Bitcoin price,"97,353.27",2025-02-07 16:23:41.939173
Bitcoin price,"97,334.17",2025-02-07 16:23:52.056050
Bitcoin price,"97,334.17",2025-02-07 16:24:02.168077
Bitcoin price,"97,334.17",2025-02-07 16:24:12.303615
Bitcoin price,"97,334.17",2025-02-07 16:24:22.412339
Bitcoin price,"97,334.17",2025-02-07 16:24:32.521736
Bitcoin price,"97,334.17",2025-02-07 16:24:42.649891
Bitcoin price,"97,334.17",2025-02-07 16:24:52.779220
Bitcoin price,"97,334.17",2025-02-07 16:25:02.866389
Bitcoin price,"97,334.17",2025-02-07 16:25:12.983389
Bitcoin price,"97,334.17",2025-02-07 16:25:23.120569
